sample_ID,compound_seen,strain_seen,time_seen,plate_seen,source_seen,instrument_seen,time_distance,expert_disagreement,compound_log1p_count,strain_log1p_count,plate_log1p_count,A,B,C,n_obs_proteins,axis,fold_id,field_col,gate_value
B1096,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.266448663704553,5.828945617610208,7.212294468500341,0.0,0.1592676584652529,-0.0454854803713478,0.0570687659458603,3924,plate,0,Yeast_cell_plate,0.64991134
B1098,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2368486073838136,5.828945617610208,7.226209010100671,0.0,0.1395797578003461,-0.0404746305192452,0.0407626252712451,3816,plate,0,Yeast_cell_plate,0.64959836
B1102,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2371806923940091,5.828945617610208,7.245655067594535,0.0,0.147220885582039,-0.0463518633981512,0.0474651028898233,4002,plate,0,Yeast_cell_plate,0.64962244
B1104,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.242009291776222,5.828945617610208,7.16703787691222,0.0,0.1197418649415585,-0.0337812362160958,0.0441339326302565,4109,plate,0,Yeast_cell_plate,0.6496507
B1107,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2382464269311134,5.525452939131784,7.212294468500341,0.0,0.1501507169004493,-0.037345154346791,0.0445411421787788,3954,plate,0,Yeast_cell_plate,0.64895964
B1108,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2919146670736309,5.529429087511423,7.212294468500341,0.0,0.174845998015447,-0.0676259136097665,0.0707900002919743,3956,plate,0,Yeast_cell_plate,0.64993894
B1109,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2293045219027344,5.525452939131784,7.226209010100671,0.0,0.1872310738593782,-0.0371936146271499,0.0387671575574728,3829,plate,0,Yeast_cell_plate,0.6483369
B1110,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2839057386314039,5.529429087511423,7.226209010100671,0.0,0.1634440008561631,-0.050343186634316,0.0633233244186707,3843,plate,0,Yeast_cell_plate,0.6499104
B1113,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1979579623470807,5.525452939131784,7.245655067594535,0.0,0.1466223263344315,-0.0246416897402493,0.0314307349264823,4027,plate,0,Yeast_cell_plate,0.64059913
B1114,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2752650825733819,5.529429087511423,7.245655067594535,0.0,0.1028879136189699,-0.0404380702570189,0.066697457164952,4044,plate,0,Yeast_cell_plate,0.6498658
