entity,n_rows,sample_pcc,sample_pcc_median,log2_rmse,log2_mae,r2,axis,fold_id,candidate
WAY_B-1_P17,40,0.9935341656374771,0.9937143103312647,0.34371316352541303,0.2385704006621999,0.9856916634980196,plate,0,mask_compound
WAY_B-1_P20,38,0.9954229966116662,0.9956229295902325,0.281625735443412,0.19621480980179679,0.990235712775234,plate,0,mask_compound
WAY_B-2_P19,39,0.9938646294952048,0.9938289793169027,0.3201060162677509,0.21453153334560418,0.9870057870472135,plate,0,mask_compound
WAY_BP12,38,0.9923033415807687,0.9923092914591284,0.34374648763717325,0.24945933794301292,0.9835881585587982,plate,0,mask_compound
WAY_BP18,37,0.98762821545169,0.9877713293586706,0.44966702402280073,0.3354430120114624,0.9716050658014307,plate,0,mask_compound
WAY_CP1,34,0.9900191132534982,0.991096884508865,0.3942306495731138,0.2762367761417925,0.9785701900734134,plate,0,mask_compound
WAY_CP10,35,0.9902524654449683,0.9928521767290314,0.35393944542525657,0.24093485932210934,0.9794726118719241,plate,0,mask_compound
WAY_CP22,34,0.98592148974724,0.987716068519304,0.44077373302937745,0.3035105207540888,0.9701856430166951,plate,0,mask_compound
WAY_CP36,71,0.9806416370512726,0.9828689070392265,0.5484441006457524,0.3979484545743993,0.9569555878465321,plate,0,mask_compound
WAY_CP43,65,0.9911644348697566,0.993594780982377,0.35319756129908775,0.23846172919002528,0.9809219651454211,plate,0,mask_compound
WAY_CP54,33,0.9891769330911355,0.9895725740568738,0.4030856519457252,0.29267688025845484,0.9774557959517198,plate,0,mask_compound
WAY_CP6,31,0.9876121556768216,0.9899930141121364,0.42488650258307425,0.3002866374310588,0.9722392686904396,plate,0,mask_compound
WAY_B-1_P15,40,0.9939391006796792,0.9940824555413971,0.32379908756539644,0.21384798710073374,0.9872287945276635,plate,1,mask_compound
WAY_B-1_P18,38,0.985602065175109,0.9861556051932442,0.4880669530954685,0.3567632344701751,0.9707494671818452,plate,1,mask_compound
WAY_B-2_P18,39,0.988320224344697,0.9888607119630212,0.43692239116600323,0.3169603010846646,0.9757044030665326,plate,1,mask_compound
WAY_BP1,37,0.9946199031281001,0.9950011798354979,0.2834756744573546,0.1970486194188832,0.9886280864970166,plate,1,mask_compound
WAY_BP10,38,0.9939785015102913,0.9940341223267415,0.2966754486007908,0.20506301163763355,0.9873712044649186,plate,1,mask_compound
WAY_BP8,36,0.9925004422383265,0.9925479174791423,0.32890213557681697,0.22743410939958347,0.9844073626047083,plate,1,mask_compound
