entity,n_rows,sample_pcc,sample_pcc_median,log2_rmse,log2_mae,r2,axis,fold_id,candidate
WAY_B-1_P17,40,0.9935341656374772,0.9937143103312648,0.343713163525413,0.2385704006621999,0.9856916634980196,plate,0,e1a__seed20260810
WAY_B-1_P20,38,0.9954229966116662,0.9956229295902324,0.281625735443412,0.1962148098017967,0.990235712775234,plate,0,e1a__seed20260810
WAY_B-2_P19,39,0.9938646294952048,0.9938289793169028,0.3201060162677509,0.2145315333456041,0.9870057870472136,plate,0,e1a__seed20260810
WAY_BP12,38,0.9923033415807688,0.9923092914591284,0.3437464876371732,0.2494593379430129,0.9835881585587982,plate,0,e1a__seed20260810
WAY_BP18,37,0.98762821545169,0.9877713293586706,0.4496670240228007,0.3354430120114624,0.9716050658014308,plate,0,e1a__seed20260810
WAY_CP1,34,0.9900191132534982,0.991096884508865,0.3942306495731138,0.2762367761417925,0.9785701900734134,plate,0,e1a__seed20260810
WAY_CP10,35,0.9902524654449684,0.9928521767290314,0.3539394454252565,0.2409348593221093,0.979472611871924,plate,0,e1a__seed20260810
WAY_CP22,34,0.98592148974724,0.987716068519304,0.4407737330293774,0.3035105207540888,0.9701856430166952,plate,0,e1a__seed20260810
WAY_CP36,71,0.9806416370512726,0.9828689070392264,0.5484441006457524,0.3979484545743993,0.956955587846532,plate,0,e1a__seed20260810
WAY_CP43,65,0.9911644348697566,0.993594780982377,0.3531975612990877,0.2384617291900252,0.9809219651454212,plate,0,e1a__seed20260810
WAY_CP54,33,0.9891769330911356,0.9895725740568738,0.4030856519457252,0.2926768802584548,0.9774557959517198,plate,0,e1a__seed20260810
WAY_CP6,31,0.9876121556768216,0.9899930141121364,0.4248865025830742,0.3002866374310588,0.9722392686904396,plate,0,e1a__seed20260810
WAY_B-1_P15,40,0.9939391006796792,0.9940824555413972,0.3237990875653964,0.2138479871007337,0.9872287945276635,plate,1,e1a__seed20260810
WAY_B-1_P18,38,0.985602065175109,0.9861556051932442,0.4880669530954685,0.3567632344701751,0.9707494671818452,plate,1,e1a__seed20260810
WAY_B-2_P18,39,0.988320224344697,0.9888607119630212,0.4369223911660032,0.3169603010846646,0.9757044030665326,plate,1,e1a__seed20260810
WAY_BP1,37,0.9946199031281,0.995001179835498,0.2834756744573546,0.1970486194188832,0.9886280864970166,plate,1,e1a__seed20260810
WAY_BP10,38,0.9939785015102912,0.9940341223267416,0.2966754486007908,0.2050630116376335,0.9873712044649186,plate,1,e1a__seed20260810
WAY_BP8,36,0.9925004422383265,0.9925479174791424,0.3289021355768169,0.2274341093995834,0.9844073626047084,plate,1,e1a__seed20260810
WAY_CP12,34,0.985436097616574,0.9899473723377864,0.4434647812693079,0.3068285114458391,0.9669494261946328,plate,1,e1a__seed20260810
WAY_CP3,34,0.9889964649081826,0.9917762662072234,0.3746167644436669,0.2572820362065411,0.97635101549773,plate,1,e1a__seed20260810
