candidate_key,family,seed,pcc_macro,pcc_ci_lo,pcc_ci_hi,rmse_macro,rmse_ci_lo,rmse_ci_hi,mae_macro,n_entities,n_folds
e1a__seed42,e1a,42,0.9900762267345371,0.9891005687212788,0.9909924134799039,0.38118098955822394,0.3654383956594402,0.3984012716642267,0.2661258647954502,144,12
e1a__seed3407,e1a,3407,0.990114740972508,0.9891664862855454,0.9909942720020338,0.37972355935483676,0.36454621959868566,0.395928898051954,0.26437801109461145,144,12
e1a__seed20260810,e1a,20260810,0.990256590259469,0.9893431296686342,0.9911270941736172,0.37687290036411636,0.36195249318192346,0.39291527335431886,0.2624372124619391,144,12
e1c__seed42,e1c,42,0.9900932526706274,0.9891148393693894,0.9910087843224642,0.38088490503774275,0.3650075223764423,0.39835596057181705,0.26602014254511247,144,12
e1c__seed3407,e1c,3407,0.9901323421374868,0.9891930269367197,0.9910092220113249,0.3794310713320187,0.3643691532534474,0.3955377373249663,0.2641654065221841,144,12
e1c__seed20260810,e1c,20260810,0.9902848002506174,0.9893783398051317,0.9911460384340113,0.3764290631143211,0.3616501183888167,0.39229876460220786,0.2620458828804947,144,12
e1e__seed42,e1e,42,0.9901103168521206,0.9891505066775554,0.9910014662470048,0.38055912810019177,0.36491655479193535,0.39753825150665323,0.2655032729942817,144,12
e1e__seed3407,e1e,3407,0.9902249923697839,0.9893404585669995,0.991064854133646,0.3777965472788078,0.3632138569769108,0.3929735080170425,0.2628284939122722,144,12
e1e__seed20260810,e1e,20260810,0.9902239367830029,0.9893127926628713,0.9910834268608896,0.37824997338109095,0.3633029632321676,0.39407788221870776,0.2636799986195776,144,12
e1f__seed42,e1f,42,0.9900988445712033,0.9891767628922928,0.9909657864321418,0.3807293852204891,0.3656406515908335,0.397075185573294,0.2654277908772014,144,12
e1f__seed3407,e1f,3407,0.9901658855837864,0.9892732633354416,0.9910071375780721,0.37852137315938905,0.3641261340746288,0.3943056783202721,0.2631371586217011,144,12
e1f__seed20260810,e1f,20260810,0.9902134054464058,0.989322587638998,0.9910460048183428,0.37791629967590534,0.36349152001969914,0.3934592180159014,0.263000115827103,144,12
