candidate,axis,fold_id,n_entities,entities,n_train_rows,n_test_rows,unknown_sample_pcc,unknown_log2_rmse,unknown_log2_mae,known_in_sample_sample_pcc,known_in_sample_log2_rmse,known_in_sample_log2_mae,fc_pcc,fc_coverage,fc_n_matched,fc_n_treatments,elapsed_sec
mask_compound,strain,3,1,DHY210,4441,1479,0.9726966788374225,0.6516610376390707,0.4450936655113125,0.9947427870967464,0.280081940871888,0.1893246552545255,,0.0,0,1277,23.53631353378296
mask_compound,compound,0,2,EDTA;Valinomycin,5290,630,0.9940640249708252,0.3080894831890295,0.20608264732142928,0.9944406304894479,0.2860696529345901,0.19325791717774857,0.5660847954655213,0.9952380952380953,627,630,27.196274042129517
mask_compound,compound,1,3,Geldanamycin;Tunicamycin;Water,5357,563,0.9940702592272859,0.3075216194779541,0.20977196932773418,0.9944389803256264,0.28653430282757775,0.19372810848483216,0.6185275998304984,0.9555555555555556,172,180,29.57871389389038
mask_compound,compound,2,3,Clotrimazole;DMSO;Trichostatin A,5372,548,0.9938203491839604,0.3140950030424786,0.2152723006374163,0.9944666451230373,0.28581503170714967,0.1927624245477531,0.5490698186529462,0.9666666666666667,174,180,30.904444456100464
mask_compound,compound,3,4,4-Hydroxytamoxifen;CHX;Hoechst 33258;Nystatin dihydrate,5374,546,0.9824586892324222,0.47211966302310787,0.30288541027639293,0.9947629318911385,0.28007621184543174,0.18940153719102504,0.5499241483046848,0.9981684981684982,545,546,29.806598901748657
mask_compound,compound,4,4,Harmine hydrochloride;LY 294002 hydrochloride;NaCl;Parthenolide,5375,545,0.9911328526406663,0.36202611700720594,0.23977739997057027,0.9945587699087161,0.28375875443923226,0.19160496766747664,0.5764466210845947,0.9963302752293578,543,545,32.6372184753418
mask_compound,compound,5,5,"(1R, 2S, 5R) - (-) - Menthol;Cisplatin;Clomiphene citrate;Emodin;Haloperidol",5291,629,0.9932837847753976,0.3175203146259561,0.2174423843264984,0.9943703106900955,0.2879684259296055,0.19458366525691378,0.5840961798529211,0.9984101748807631,628,629,31.877936124801636
mask_compound,compound,6,5,Amiodarone hydrochloride;Artemisinin;Cyclopiazonic acid;Desipramine hydrochloride;SDS,5291,629,0.9799701768041874,0.4639552137428608,0.2782972681844251,0.994744556164886,0.28188416232871727,0.1905147572919268,0.5566569612866401,0.9984101748807631,628,629,31.048836708068848
mask_compound,compound,7,4,1-10 Phenanthroline monohydrate;Quality Control;Rapamycin;Wortmannin,5309,611,0.9888792973538084,0.41566296647320866,0.26226064620331585,0.9944890848034719,0.28479008058649713,0.19213265833787835,0.569685167002249,0.9961538461538462,518,520,32.182302474975586
mask_compound,compound,8,5,Nigericin;Nocodazole;Sorbitol;Staurosporine;Trifluoperazine dihydrochloride,5309,611,0.9925635338134449,0.34049246832608854,0.2308114302686033,0.9944676942849485,0.28544672426429496,0.19278674291188924,0.5902219857093101,0.9967266775777414,609,611,30.758538007736206
mask_compound,compound,9,5,Anisomycin;Brefeldin A;Dyclonine hydrochloride;Oligomycin;U-73122,5312,608,0.9926346841247975,0.33328547005311815,0.22900994636255634,0.9944739067902275,0.2859620878822773,0.19264808474894993,0.5766704284586671,1.0,608,608,28.370725870132446
mask_compound,time,0,1,15,4925,995,0.9903459277052172,0.38147042231760064,0.25814337697422907,0.9944440905715961,0.2861523009949307,0.19342900826609533,,0.0,0,854,25.430278301239014
mask_compound,time,1,1,30,4936,984,0.9914094680768127,0.36524925945829323,0.24735191204362314,0.9944252002225833,0.2872562465575663,0.19403909163316105,,0.0,0,842,25.008234977722168
mask_compound,time,2,1,60,4949,971,0.9900923977475597,0.39041375848204946,0.260722373157254,0.9944232465024205,0.28666013499654835,0.1934200264393422,,0.0,0,832,23.710910081863403
mask_compound,time,3,1,90,4936,984,0.9901893967770754,0.3848316514069655,0.257971675761129,0.9945059088712117,0.28557589688229923,0.19318774995205548,,0.0,0,848,23.68243145942688
mask_compound,time,4,1,120,4926,994,0.9911600772972379,0.3654051305292772,0.25152209968483924,0.9943684913288384,0.28878171272149256,0.1947782769051633,,0.0,0,853,26.896191835403442
mask_compound,time,5,1,240,4928,992,0.9848423327797448,0.48167190265041865,0.3400048886693366,0.9946552697054948,0.28196045819387466,0.1901626646579482,,0.0,0,849,28.58988904953003
