entity,n_rows,sample_pcc,sample_pcc_median,log2_rmse,log2_mae,r2,axis,fold_id,candidate
WAY_B-1_P17,40,0.9936678683260396,0.9938446172942705,0.34008503067675,0.23656635895770767,0.9859877959744938,plate,0,mask_compound
WAY_B-1_P20,38,0.9952608207642814,0.9954580675704003,0.28424463385492077,0.19856096808343002,0.9900411211071474,plate,0,mask_compound
WAY_B-2_P19,39,0.9941343058598363,0.9944862061530285,0.31415695382034986,0.20784264338101233,0.9874824035037304,plate,0,mask_compound
WAY_BP12,38,0.9920111456655608,0.9921695554663282,0.3486493140489642,0.2504801727827176,0.9831194629500859,plate,0,mask_compound
WAY_BP18,37,0.986247774702733,0.9865453983607149,0.46685617405770546,0.3468475815460293,0.9693910451912583,plate,0,mask_compound
WAY_CP1,34,0.9899186257966711,0.9911131321413037,0.3998589064809496,0.28140015338728314,0.9780314858553493,plate,0,mask_compound
WAY_CP10,35,0.9904247211371784,0.9936184139028729,0.3525871233119626,0.24230842750279857,0.9796384131956838,plate,0,mask_compound
WAY_CP22,34,0.9859714133074263,0.9878453162462613,0.44204509307348694,0.3041958820091121,0.9700090402566639,plate,0,mask_compound
WAY_CP36,71,0.9801553611964801,0.9825847654898987,0.553658661491574,0.3991405575259567,0.9562676265134823,plate,0,mask_compound
WAY_CP43,65,0.9908905974876738,0.9935028351961961,0.357832413009509,0.24032284150812977,0.9803623579134497,plate,0,mask_compound
WAY_CP54,33,0.9887395860798525,0.9892443028946365,0.4106111252622142,0.297984305558344,0.9765943812960493,plate,0,mask_compound
WAY_CP6,31,0.9877162331309977,0.9899758504737128,0.41955854928090397,0.29263357603432216,0.9726617352056257,plate,0,mask_compound
WAY_B-1_P15,40,0.9942651050150136,0.9943307436999249,0.3145861155294038,0.20829719430983443,0.9879406514243165,plate,1,mask_compound
WAY_B-1_P18,38,0.9870583967166656,0.9876568647767583,0.46732782303294157,0.3410938255466426,0.9731837318389788,plate,1,mask_compound
WAY_B-2_P18,39,0.9885328948014459,0.9891765726449611,0.43355414434873024,0.3150985802774959,0.9760720081043158,plate,1,mask_compound
WAY_BP1,37,0.9946196261258514,0.9950284267393021,0.28801176287648955,0.20315802026557533,0.9882664468819797,plate,1,mask_compound
WAY_BP10,38,0.9941147217950372,0.9940592094963087,0.2938247007363486,0.20296123891081416,0.9876129894459998,plate,1,mask_compound
WAY_BP8,36,0.9928306522969029,0.9927926820355084,0.3213250241307523,0.2210079435519402,0.9851136938117465,plate,1,mask_compound
