entity,n_rows,sample_pcc,sample_pcc_median,log2_rmse,log2_mae,r2,axis,fold_id,candidate
WAY_B-1_P17,40,0.9937481386484703,0.9938085934859875,0.3379983491980432,0.23538169897615482,0.9861487238487168,plate,0,mask_compound
WAY_B-1_P20,38,0.9952427364112637,0.9954139704180569,0.2859108267494055,0.1997404676124086,0.9899164251464034,plate,0,mask_compound
WAY_B-2_P19,39,0.9943304990311986,0.9947396706211727,0.3105244212254934,0.2042705440066538,0.9877616532214464,plate,0,mask_compound
WAY_BP12,38,0.9917967277955867,0.9918021839609557,0.3536352086405196,0.2556724099329354,0.9826354341697031,plate,0,mask_compound
WAY_BP18,37,0.986228145819445,0.9859657079397898,0.4767622761442263,0.3573664762617513,0.9680845064490928,plate,0,mask_compound
WAY_CP1,34,0.9889969951661312,0.9901445417407493,0.413890174635681,0.2918189998666767,0.9764556744765592,plate,0,mask_compound
WAY_CP10,35,0.9900209076199323,0.9931676171191376,0.3636073299687426,0.25003015385005645,0.9784558395198582,plate,0,mask_compound
WAY_CP22,34,0.9858707096976922,0.9885134613833793,0.44158369739728986,0.3045359895472111,0.9693445526761214,plate,0,mask_compound
WAY_CP36,71,0.9801163095643263,0.9812901343340901,0.5625098182629197,0.41127161900284465,0.9551782051301474,plate,0,mask_compound
WAY_CP43,65,0.9905166692702647,0.9931467754036106,0.36644443025062,0.24660814961489597,0.9794895846075663,plate,0,mask_compound
WAY_CP54,33,0.9892153168776648,0.9893085676827522,0.40237203507674335,0.2908453191748378,0.9775443947064073,plate,0,mask_compound
WAY_CP6,31,0.9867541844692065,0.9897368731448626,0.43745384592223346,0.3091880542110475,0.97003639078883,plate,0,mask_compound
WAY_B-1_P15,40,0.9943986113567522,0.9944765508283149,0.30949348724269776,0.20522455368383424,0.9883307874769589,plate,1,mask_compound
WAY_B-1_P18,38,0.9868013022424134,0.9869268104437121,0.4706793492872491,0.3439163466181084,0.9727803021010244,plate,1,mask_compound
WAY_B-2_P18,39,0.988757852739657,0.9892047586082454,0.4270196555186419,0.3064636598685523,0.976789025009217,plate,1,mask_compound
WAY_BP1,37,0.9946556398121229,0.9949993906767606,0.2849590217972333,0.19953137764264953,0.9885084797299523,plate,1,mask_compound
WAY_BP10,38,0.9939496909550253,0.9940269618625387,0.3054777857755826,0.21671475785253388,0.986604919101558,plate,1,mask_compound
WAY_BP8,36,0.9927362179008268,0.9928936154246416,0.3359437656092596,0.24017981941272015,0.9837295608345509,plate,1,mask_compound
WAY_CP12,34,0.9853047388295761,0.9905885839423907,0.4420809027753008,0.305555111594717,0.9666128303300613,plate,1,mask_compound
WAY_CP3,34,0.988357795524283,0.9918766180818779,0.3862588092166393,0.26566765426190236,0.974621441540598,plate,1,mask_compound
WAY_CP45,64,0.98992761359607,0.9938148888684897,0.3693923706255931,0.24960473085921123,0.9777577062568898,plate,1,mask_compound
WAY_CP46,71,0.9929348748314374,0.994774652563683,0.3120882667414023,0.20984476952339412,0.983943667541993,plate,1,mask_compound
WAY_CP55,33,0.9771695676169293,0.9775350627778696,0.580125250832671,0.40030223053050296,0.952553020234433,plate,1,mask_compound
WAY_CP62,31,0.9939901807011766,0.9949897440905587,0.31167327013782764,0.2122406462428287,0.9865997079815191,plate,1,mask_compound
WAY_B-1_P13,40,0.9919884797901416,0.9921764128761048,0.36823291452932616,0.2403087896877911,0.9834448828892735,plate,2,mask_compound
WAY_B-1_P16,38,0.9940431356305744,0.9944782989173431,0.31908180578775813,0.22015530493776478,0.9876772047520447,plate,2,mask_compound
WAY_B-2_P12,39,0.9902243404981724,0.9903495647943907,0.3999775783977552,0.27810881012460853,0.9794982296648379,plate,2,mask_compound
WAY_B-2_P5,37,0.9941329481238191,0.9942999684063364,0.3119909752423989,0.21422295468506258,0.9878464612980635,plate,2,mask_compound
WAY_B-2_P9,38,0.9918711319670566,0.9925952179516788,0.3600527691566429,0.24693760434318174,0.982939243839571,plate,2,mask_compound
WAY_BP5,36,0.9920871019534611,0.9920123744689686,0.34870241581036626,0.24642811075448262,0.9830300698590422,plate,2,mask_compound
WAY_CP19,35,0.9775280148374611,0.9763214987905535,0.5597554103359546,0.4030070518475341,0.9522770025358548,plate,2,mask_compound
WAY_CP42,63,0.9852302865546368,0.9890711621145619,0.4648585599574288,0.3170947550030667,0.9666998751730336,plate,2,mask_compound
WAY_CP47,71,0.9932442533686865,0.9954701033941725,0.30669345789001323,0.20231325980045434,0.9846044837069272,plate,2,mask_compound
WAY_CP53,34,0.9922960992125995,0.9928101284738015,0.34471861198133286,0.24680043555643078,0.9835552523811906,plate,2,mask_compound
WAY_CP59,33,0.9906617466809823,0.9920637363163562,0.3725330282284442,0.24707350960577262,0.9802864952338147,plate,2,mask_compound
WAY_CP63,31,0.9940863796344324,0.9946436502154126,0.29908274416572983,0.20076181493556328,0.9878002227173629,plate,2,mask_compound
WAY_B-2_P20,38,0.9953234748046978,0.995435263665652,0.283233793831929,0.20018854600180327,0.9895522012241404,plate,3,mask_compound
WAY_B-2_P4,40,0.9929681933757607,0.9931656760667926,0.34224897865193943,0.2358684444571653,0.9852069834461636,plate,3,mask_compound
WAY_BP14,39,0.9912455841909125,0.9917363453973337,0.3578519080100216,0.25115573337267394,0.9817256481341529,plate,3,mask_compound
WAY_BP2,36,0.9941287710457503,0.9941657789013532,0.29283175092048963,0.19878645244135607,0.9878358235761188,plate,3,mask_compound
WAY_BP7,38,0.9946466129902202,0.9945689904873455,0.28662847355079923,0.2011757694312833,0.98847989675537,plate,3,mask_compound
WAY_CP15,34,0.9622585962095042,0.9643215065348965,0.9004729821963804,0.7079297061105926,0.8990012492250273,plate,3,mask_compound
WAY_CP16,35,0.9670399317446201,0.9702146166764266,0.8346491056194812,0.6474055845793302,0.9146513976929965,plate,3,mask_compound
WAY_CP28,70,0.9913814504915972,0.9928459560705469,0.3595896441709867,0.25126857077767206,0.9813042772667875,plate,3,mask_compound
WAY_CP29,67,0.9831468201322401,0.9859867950652195,0.4887998781419721,0.35390309426413796,0.9641045949285109,plate,3,mask_compound
WAY_CP56,34,0.991335075338494,0.9914970439399449,0.36161320775422123,0.2500034040440471,0.9816950394558631,plate,3,mask_compound
WAY_CP65,33,0.9929157416208433,0.9938063077341953,0.33360507319988575,0.2399412657179251,0.9846529033199247,plate,3,mask_compound
WAY_CP68,31,0.9907692069708836,0.9916910654080232,0.3695924952537863,0.253269095166181,0.9809365490001132,plate,3,mask_compound
WAY_B-2_P24,38,0.9924668485642949,0.9926480080346346,0.35398484611795006,0.2434089601518216,0.9841526515950723,plate,4,mask_compound
WAY_B-2_P3,29,0.9940478061500546,0.9947427095813415,0.31142597770456126,0.21196988611679765,0.9876492778640472,plate,4,mask_compound
WAY_BP11,40,0.994749058485759,0.994696701710447,0.29774811957123193,0.21435460155267566,0.9875599972840984,plate,4,mask_compound
WAY_BP19,39,0.9922020677816136,0.9924376110923933,0.3432107646850807,0.23906802711326217,0.9834202921284458,plate,4,mask_compound
WAY_BP4,36,0.9728787943099982,0.9716115439414232,0.59351988172536,0.4273000803656685,0.9447459335313955,plate,4,mask_compound
WAY_BP9,38,0.9944268212746281,0.9944984483332233,0.30294088616484416,0.21831080692885707,0.9872303004814186,plate,4,mask_compound
WAY_CP17,35,0.9894976537467443,0.9913163806024266,0.3969009810688635,0.2843348640085957,0.9768482028637537,plate,4,mask_compound
WAY_CP20,34,0.9882592838709537,0.9928411695910061,0.39649230726893336,0.27338598624951227,0.9747770545280607,plate,4,mask_compound
WAY_CP30,70,0.987003005560612,0.9901876171154176,0.43330974100556036,0.3048268282147839,0.9708857751543272,plate,4,mask_compound
WAY_CP33,67,0.9903254753639193,0.9925419709156468,0.3778502078015649,0.2573156439517569,0.9793312896249534,plate,4,mask_compound
WAY_CP57,34,0.9921144257238078,0.9924382707954769,0.3417885740933692,0.23850638793476373,0.9834506301744177,plate,4,mask_compound
WAY_CP67,33,0.9894907967237716,0.9894116876965825,0.4037631213507548,0.28747552038053203,0.977853769747449,plate,4,mask_compound
WAY_B-2_P16,37,0.9936702095029022,0.9938608294325557,0.3279916522391956,0.2260628012925455,0.986547056486776,plate,5,mask_compound
WAY_B-2_P7,38,0.9948790413264849,0.995001378452764,0.2886644930254654,0.19386087355642778,0.989296686556196,plate,5,mask_compound
WAY_BP20,40,0.9908048900538489,0.9909692370352641,0.3679866159015199,0.26978683839787576,0.980185479152917,plate,5,mask_compound
WAY_BP23,39,0.992869561925755,0.993099422348383,0.3268484146313953,0.22917103564731167,0.9848319880730446,plate,5,mask_compound
WAY_BP3,37,0.9936531544641756,0.9937899823424685,0.3113662781907577,0.2144922734610378,0.9865281486268448,plate,5,mask_compound
WAY_CP18,35,0.983579956304024,0.9889351059598597,0.4921055881553122,0.340897126435599,0.9632047901848182,plate,5,mask_compound
WAY_CP21,34,0.9858666026087086,0.9920143932804755,0.38934460173747654,0.26885543289823094,0.9688089996991205,plate,5,mask_compound
WAY_CP24,29,0.9853544321837864,0.9875631113027331,0.45969255636713857,0.32375030551855555,0.9681653364826965,plate,5,mask_compound
WAY_CP38,70,0.9922339089402655,0.9938661418815593,0.3350588874399958,0.2307696106565342,0.9821591898899783,plate,5,mask_compound
WAY_CP44,67,0.9910237839880873,0.9932010012208866,0.3585234265840891,0.23887239320144307,0.9792739094708762,plate,5,mask_compound
WAY_CP61,34,0.9918315134075771,0.9950814687186817,0.33595791326213403,0.20866653517231157,0.9807471501836753,plate,5,mask_compound
WAY_CP7,33,0.9899670836460682,0.9913079678592809,0.38897143020976854,0.2726208630472713,0.9787105463070145,plate,5,mask_compound
WAY_B-1_P12,36,0.9904949303237383,0.9922182251659439,0.4067839033154756,0.2843590536145909,0.9795267802286411,plate,6,mask_compound
WAY_B-1_P14,35,0.9919713007191628,0.9922762784241206,0.3697160018914126,0.24115704779370123,0.9834135702485968,plate,6,mask_compound
WAY_B-1_P21,28,0.9679373078779749,0.9692660587559481,0.7389021865315729,0.500843268226295,0.933225158563635,plate,6,mask_compound
WAY_B-1_P24,40,0.9886550224261175,0.9886412286449314,0.4390425084324979,0.30833155285112085,0.9761931845930537,plate,6,mask_compound
WAY_B-1_P6,38,0.9915559541772979,0.9915917225394564,0.3820853459389959,0.27142455273749166,0.9822606695057099,plate,6,mask_compound
WAY_B-2_P2,39,0.9934420368069374,0.9936559762406091,0.3249510358059,0.22030050560460956,0.9863659456501943,plate,6,mask_compound
WAY_BP16,38,0.9937014044964807,0.993880295146585,0.30800363999858826,0.21260931016864917,0.9862740016316182,plate,6,mask_compound
WAY_CP2,35,0.9907099676992552,0.9927753425305705,0.3599622859209368,0.2529229604957466,0.9797938694217626,plate,6,mask_compound
WAY_CP27,66,0.9900329519005625,0.9917409939262555,0.3810847242634341,0.2602018487800271,0.9783041901845801,plate,6,mask_compound
WAY_CP39,70,0.9912141991311876,0.9929097178137282,0.3598590555996377,0.253336518728202,0.980664638227509,plate,6,mask_compound
WAY_CP64,34,0.9945022153731021,0.9947915373339125,0.2929916524502798,0.20961419207492166,0.988283686075326,plate,6,mask_compound
WAY_CP70,33,0.9918553365072147,0.9923424576065573,0.3481572029687206,0.22970670775444546,0.9831108442662241,plate,6,mask_compound
WAY_B-1_P19,35,0.9933476459162821,0.993709761496446,0.3354116095566236,0.2328508067153364,0.9858732548599007,plate,7,mask_compound
WAY_B-1_P22,36,0.9911851171499381,0.9931452682995581,0.3648307650263556,0.2504957138673984,0.9817682259763699,plate,7,mask_compound
